Algorithm,time,n
radix_sort,0.002888918,67901
radix_sort,0.002576828,68001
radix_sort,0.002603054,68101
radix_sort,0.003225088,68201
radix_sort,0.002645016,68301
radix_sort,0.002577782,68401
radix_sort,0.003071785,68501
radix_sort,0.003342152,68601
radix_sort,0.002543688,68701
radix_sort,0.002606869,68801
radix_sort,0.003425121,68901
radix_sort,0.002735853,69001
radix_sort,0.002655029,69101
radix_sort,0.002666235,69201
radix_sort,0.003616095,69301
radix_sort,0.002616167,69401
radix_sort,0.002521992,69501
radix_sort,0.0025208,69601
radix_sort,0.002560854,69701
radix_sort,0.002588987,69801
radix_sort,0.004678965,69901
radix_sort,0.002521038,70001
radix_sort,0.002525091,70101
radix_sort,0.002539873,70201
radix_sort,0.0047822,70301
radix_sort,0.003582001,70401
radix_sort,0.002791166,70501
radix_sort,0.002560616,70601
radix_sort,0.002585173,70701
radix_sort,0.00259304,70801
radix_sort,0.00272727,70901
radix_sort,0.003556967,71001
radix_sort,0.002695322,71101
radix_sort,0.002819777,71201
radix_sort,0.002631187,71301
radix_sort,0.002701044,71401
radix_sort,0.002652884,71501
radix_sort,0.002635002,71601
radix_sort,0.002622128,71701
radix_sort,0.00266099,71801
radix_sort,0.002660275,71901
radix_sort,0.002680063,72001
radix_sort,0.002635956,72101
radix_sort,0.002649307,72201
radix_sort,0.002687931,72301
radix_sort,0.002686977,72401
radix_sort,0.002689123,72501
radix_sort,0.002685308,72601
radix_sort,0.002687931,72701
radix_sort,0.002665997,72801
radix_sort,0.002718925,72901
radix_sort,0.002693892,73001
radix_sort,0.002695084,73101
radix_sort,0.002655983,73201
radix_sort,0.002663136,73301
radix_sort,0.00290823,73401
radix_sort,0.003808022,73501
radix_sort,0.002815962,73601
radix_sort,0.002719879,73701
radix_sort,0.002737999,73801
radix_sort,0.002739906,73901
radix_sort,0.0027771,74001
radix_sort,0.002804756,74101
radix_sort,0.002756834,74201
radix_sort,0.002787113,74301
radix_sort,0.002751827,74401
radix_sort,0.004127979,74501
radix_sort,0.002779245,74601
radix_sort,0.003731012,74701
radix_sort,0.002775908,74801
radix_sort,0.002825975,74901
radix_sort,0.002739906,75001
radix_sort,0.002788067,75101
radix_sort,0.002818823,75201
radix_sort,0.002876997,75301
radix_sort,0.00279808,75401
radix_sort,0.0028162,75501
radix_sort,0.002861023,75601
radix_sort,0.00283289,75701
radix_sort,0.005176783,75801
radix_sort,0.002972126,75901
radix_sort,0.002940893,76001
radix_sort,0.002897739,76101
radix_sort,0.002886057,76201
radix_sort,0.002850771,76301
radix_sort,0.002819061,76401
radix_sort,0.002892017,76501
radix_sort,0.002889872,76601
radix_sort,0.002885818,76701
radix_sort,0.002843857,76801
radix_sort,0.002900839,76901
radix_sort,0.002902985,77001
radix_sort,0.002863169,77101
radix_sort,0.00291276,77201
radix_sort,0.002924919,77301
radix_sort,0.002914906,77401
radix_sort,0.002935171,77501
radix_sort,0.002933025,77601
radix_sort,0.002932787,77701
radix_sort,0.002945185,77801
radix_sort,0.002959013,77901
radix_sort,0.003485918,78001
radix_sort,0.005753994,78101
radix_sort,0.00405097,78201
radix_sort,0.003105879,78301
radix_sort,0.002975941,78401
radix_sort,0.002990961,78501
radix_sort,0.002959013,78601
radix_sort,0.003024101,78701
radix_sort,0.002951384,78801
radix_sort,0.003011227,78901
radix_sort,0.002976179,79001
radix_sort,0.002965927,79101
radix_sort,0.003011942,79201
radix_sort,0.002975941,79301
radix_sort,0.003019094,79401
radix_sort,0.004276037,79501
radix_sort,0.003010988,79601
radix_sort,0.00324297,79701
radix_sort,0.003038883,79801
radix_sort,0.003026962,79901
radix_sort,0.00303483,80001
radix_sort,0.003036022,80101
radix_sort,0.005286932,80201
radix_sort,0.003272057,80301
radix_sort,0.004915953,80401
radix_sort,0.003123999,80501
radix_sort,0.003062963,80601
radix_sort,0.003062963,80701
radix_sort,0.0031147,80801
radix_sort,0.003041744,80901
radix_sort,0.00307107,81001
radix_sort,0.003094912,81101
radix_sort,0.003062963,81201
radix_sort,0.003081322,81301
radix_sort,0.003073931,81401
radix_sort,0.003123999,81501
radix_sort,0.003097773,81601
radix_sort,0.003041029,81701
radix_sort,0.003084183,81801
radix_sort,0.00310564,81901
radix_sort,0.003096104,82001
radix_sort,0.003097057,82101
radix_sort,0.003094912,82201
radix_sort,0.003066778,82301
radix_sort,0.003242016,82401
radix_sort,0.004369736,82501
radix_sort,0.003370047,82601
radix_sort,0.003171921,82701
radix_sort,0.0031991,82801
radix_sort,0.003113985,82901
radix_sort,0.003159046,83001
radix_sort,0.003152847,83101
radix_sort,0.003148794,83201
radix_sort,0.003172159,83301
radix_sort,0.003176212,83401
radix_sort,0.003201008,83501
radix_sort,0.003223896,83601
radix_sort,0.003186941,83701
radix_sort,0.003202915,83801
radix_sort,0.003193855,83901
radix_sort,0.003161907,84001
radix_sort,0.003869295,84101
radix_sort,0.003208876,84201
radix_sort,0.003525257,84301
radix_sort,0.003173828,84401
radix_sort,0.003223896,84501
radix_sort,0.003396749,84601
radix_sort,0.00364089,84701
radix_sort,0.003243923,84801
radix_sort,0.003222942,84901
radix_sort,0.003232002,85001
radix_sort,0.003256083,85101
radix_sort,0.004466772,85201
radix_sort,0.003293991,85301
radix_sort,0.003762007,85401
radix_sort,0.003249884,85501
radix_sort,0.00326705,85601
radix_sort,0.003227949,85701
radix_sort,0.004301071,85801
radix_sort,0.003314257,85901
radix_sort,0.003311157,86001
radix_sort,0.003541946,86101
radix_sort,0.003532887,86201
radix_sort,0.003309011,86301
radix_sort,0.003273964,86401
radix_sort,0.003645897,86501
radix_sort,0.004083872,86601
radix_sort,0.004044056,86701
radix_sort,0.003489971,86801
radix_sort,0.003454924,86901
radix_sort,0.003378153,87001
radix_sort,0.00334692,87101
radix_sort,0.003391027,87201
radix_sort,0.003509045,87301
radix_sort,0.003344297,87401
radix_sort,0.003373146,87501
radix_sort,0.003336906,87601
radix_sort,0.003346205,87701
radix_sort,0.003343821,87801
radix_sort,0.005717039,87901
radix_sort,0.003427982,88001
radix_sort,0.003424883,88101
radix_sort,0.003929853,88201
radix_sort,0.00343895,88301
radix_sort,0.003447056,88401
radix_sort,0.003407955,88501
radix_sort,0.005349159,88601
radix_sort,0.00357914,88701
radix_sort,0.003434181,88801
radix_sort,0.003481865,88901
radix_sort,0.003430843,89001
radix_sort,0.003525972,89101
radix_sort,0.003427744,89201
radix_sort,0.003492117,89301
radix_sort,0.003534079,89401
radix_sort,0.003474951,89501
radix_sort,0.003483057,89601
radix_sort,0.003488064,89701
radix_sort,0.00347805,89801
radix_sort,0.003516197,89901
radix_sort,0.003521204,90001
radix_sort,0.003524065,90101
radix_sort,0.003526926,90201
radix_sort,0.003530025,90301
radix_sort,0.003505945,90401
radix_sort,0.003637791,90501
radix_sort,0.003710985,90601
radix_sort,0.004288912,90701
radix_sort,0.003866911,90801
radix_sort,0.003627062,90901
radix_sort,0.003648043,91001
radix_sort,0.003994942,91101
radix_sort,0.003624916,91201
radix_sort,0.003599882,91301
radix_sort,0.003602028,91401
radix_sort,0.003655195,91501
radix_sort,0.003697872,91601
radix_sort,0.003632069,91701
radix_sort,0.003622055,91801
radix_sort,0.003640175,91901
radix_sort,0.003638983,92001
radix_sort,0.003648758,92101
radix_sort,0.003642082,92201
radix_sort,0.00366807,92301
radix_sort,0.003743172,92401
radix_sort,0.004728079,92501
radix_sort,0.004472733,92601
radix_sort,0.003814936,92701
